email_address,first_name,last_name,course_id,grade,marks
student0@mycsu.edu,First0,Last0,DATA200,A,60
student1@mycsu.edu,First1,Last1,DATA200,C,61
student2@mycsu.edu,First2,Last2,DATA200,A,62
student3@mycsu.edu,First3,Last3,DATA200,A,63
student4@mycsu.edu,First4,Last4,DATA200,A,64
student5@mycsu.edu,First5,Last5,DATA200,A,65
student6@mycsu.edu,First6,Last6,DATA200,A,66
student7@mycsu.edu,First7,Last7,DATA200,A,67
student8@mycsu.edu,First8,Last8,DATA200,A,68
student9@mycsu.edu,First9,Last9,DATA200,A,69
student10@mycsu.edu,First10,Last10,DATA200,A,70
student11@mycsu.edu,First11,Last11,DATA200,A,71
student12@mycsu.edu,First12,Last12,DATA200,A,72
student13@mycsu.edu,First13,Last13,DATA200,A,73
student14@mycsu.edu,First14,Last14,DATA200,A,74
student15@mycsu.edu,First15,Last15,DATA200,A,75
student16@mycsu.edu,First16,Last16,DATA200,A,76
student17@mycsu.edu,First17,Last17,DATA200,A,77
student18@mycsu.edu,First18,Last18,DATA200,A,78
student19@mycsu.edu,First19,Last19,DATA200,A,79
student20@mycsu.edu,First20,Last20,DATA200,A,80
student21@mycsu.edu,First21,Last21,DATA200,A,81
student22@mycsu.edu,First22,Last22,DATA200,A,82
student23@mycsu.edu,First23,Last23,DATA200,A,83
student24@mycsu.edu,First24,Last24,DATA200,A,84
student25@mycsu.edu,First25,Last25,DATA200,A,85
student26@mycsu.edu,First26,Last26,DATA200,A,86
student27@mycsu.edu,First27,Last27,DATA200,A,87
student28@mycsu.edu,First28,Last28,DATA200,A,88
student29@mycsu.edu,First29,Last29,DATA200,A,89
student30@mycsu.edu,First30,Last30,DATA200,A,90
student31@mycsu.edu,First31,Last31,DATA200,A,91
student32@mycsu.edu,First32,Last32,DATA200,A,92
student33@mycsu.edu,First33,Last33,DATA200,A,93
student34@mycsu.edu,First34,Last34,DATA200,A,94
student35@mycsu.edu,First35,Last35,DATA200,A,95
student36@mycsu.edu,First36,Last36,DATA200,A,96
student37@mycsu.edu,First37,Last37,DATA200,A,97
student38@mycsu.edu,First38,Last38,DATA200,A,98
student39@mycsu.edu,First39,Last39,DATA200,A,99
student40@mycsu.edu,First40,Last40,DATA200,A,60
student41@mycsu.edu,First41,Last41,DATA200,A,61
student42@mycsu.edu,First42,Last42,DATA200,A,62
student43@mycsu.edu,First43,Last43,DATA200,A,63
student44@mycsu.edu,First44,Last44,DATA200,A,64
student45@mycsu.edu,First45,Last45,DATA200,A,65
student46@mycsu.edu,First46,Last46,DATA200,A,66
student47@mycsu.edu,First47,Last47,DATA200,A,67
student48@mycsu.edu,First48,Last48,DATA200,A,68
student49@mycsu.edu,First49,Last49,DATA200,A,69
student50@mycsu.edu,First50,Last50,DATA200,A,70
student51@mycsu.edu,First51,Last51,DATA200,A,71
student52@mycsu.edu,First52,Last52,DATA200,A,72
student53@mycsu.edu,First53,Last53,DATA200,A,73
student54@mycsu.edu,First54,Last54,DATA200,A,74
student55@mycsu.edu,First55,Last55,DATA200,A,75
